,parent_id,rank,tax_name,root,root_,superkingdom,superkingdom_,superkingdom__,phylum,phylum_,phylum__,class,class_,order,order_,order__,family,family_,genus,species,species_
459,cellular organisms,superkingdom,Archaea,root,cellular organisms,Archaea,,,,,,,,,,,,,,,
457,cellular organisms,superkingdom,Archaea,root,cellular organisms,Archaea,,,,,,,,,,,,,,,
451,cellular organisms,superkingdom,Archaea,root,cellular organisms,Archaea,,,,,,,,,,,,,,,
17,Methanobacteriales,family,Methanobacteriaceae,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanobacteria,,Methanobacteriales,,,Methanobacteriaceae,,,,
3,Methanobacteriaceae,genus,Methanosphaera,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanobacteria,,Methanobacteriales,,,Methanobacteriaceae,,Methanosphaera,,
16,Methanobacteriaceae,genus,Methanobrevibacter,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanobacteria,,Methanobacteriales,,,Methanobacteriaceae,,Methanobrevibacter,,
15,Methanobacteriaceae,genus,Methanobrevibacter,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanobacteria,,Methanobacteriales,,,Methanobacteriaceae,,Methanobrevibacter,,
11,Methanobacteriaceae,genus,Methanobrevibacter,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanobacteria,,Methanobacteriales,,,Methanobacteriaceae,,Methanobrevibacter,,
7,Methanobrevibacter,species,Methanobrevibacter smithii,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanobacteria,,Methanobacteriales,,,Methanobacteriaceae,,Methanobrevibacter,Methanobrevibacter smithii,
10,Methanobacteriaceae,genus,Methanobrevibacter,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanobacteria,,Methanobacteriales,,,Methanobacteriaceae,,Methanobrevibacter,,
14,Methanobacteriaceae,genus,Methanobrevibacter,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanobacteria,,Methanobacteriales,,,Methanobacteriaceae,,Methanobrevibacter,,
450,cellular organisms,superkingdom,Archaea,root,cellular organisms,Archaea,,,,,,,,,,,,,,,
442,cellular organisms,superkingdom,Archaea,root,cellular organisms,Archaea,,,,,,,,,,,,,,,
441,cellular organisms,superkingdom,Archaea,root,cellular organisms,Archaea,,,,,,,,,,,,,,,
189,cellular organisms,superkingdom,Archaea,root,cellular organisms,Archaea,,,,,,,,,,,,,,,
83,Thermococcales,family,Thermococcaceae,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,,,
82,Thermococcales,family,Thermococcaceae,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,,,
24,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
23,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
81,Thermococcales,family,Thermococcaceae,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,,,
67,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
63,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
47,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
45,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
44,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
36,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
35,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
34,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
33,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
31,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
43,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
39,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
42,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
62,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
58,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
56,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
54,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
52,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
51,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
61,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
66,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
80,Thermococcales,family,Thermococcaceae,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,,,
79,Thermococcaceae,genus,Pyrococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Pyrococcus,,
71,Thermococcaceae,genus,Pyrococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Pyrococcus,,
78,Thermococcaceae,genus,Pyrococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Pyrococcus,,
74,Thermococcaceae,genus,Pyrococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Pyrococcus,,
77,Thermococcaceae,genus,Pyrococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Pyrococcus,,
188,cellular organisms,superkingdom,Archaea,root,cellular organisms,Archaea,,,,,,,,,,,,,,,
187,Archaea,superkingdom_,TACK group,root,cellular organisms,Archaea,TACK group,,,,,,,,,,,,,,
186,Archaea,superkingdom_,TACK group,root,cellular organisms,Archaea,TACK group,,,,,,,,,,,,,,
100,TACK group,phylum,Thaumarchaeota,root,cellular organisms,Archaea,TACK group,,Thaumarchaeota,,,,,,,,,,,,
99,TACK group,phylum,Thaumarchaeota,root,cellular organisms,Archaea,TACK group,,Thaumarchaeota,,,,,,,,,,,,
98,TACK group,phylum,Thaumarchaeota,root,cellular organisms,Archaea,TACK group,,Thaumarchaeota,,,,,,,,,,,,
90,unclassified Thaumarchaeota,genus,Candidatus Nitrosotenuis,root,cellular organisms,Archaea,TACK group,,Thaumarchaeota,unclassified Thaumarchaeota,,,,,,,,,Candidatus Nitrosotenuis,,
97,TACK group,phylum,Thaumarchaeota,root,cellular organisms,Archaea,TACK group,,Thaumarchaeota,,,,,,,,,,,,
96,Nitrosopumilales,family,Nitrosopumilaceae,root,cellular organisms,Archaea,TACK group,,Thaumarchaeota,,,,,Nitrosopumilales,,,Nitrosopumilaceae,,,,
95,Nitrosopumilales,family,Nitrosopumilaceae,root,cellular organisms,Archaea,TACK group,,Thaumarchaeota,,,,,Nitrosopumilales,,,Nitrosopumilaceae,,,,
185,Crenarchaeota <phylum>,class,Thermoprotei,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,,,,,,,,
163,Crenarchaeota <phylum>,class,Thermoprotei,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,,,,,,,,
117,Desulfurococcales,family,Desulfurococcaceae,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Desulfurococcales,,,Desulfurococcaceae,,,,
103,Desulfurococcaceae,genus,Ignicoccus,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Desulfurococcales,,,Desulfurococcaceae,,Ignicoccus,,
116,Desulfurococcales,family,Desulfurococcaceae,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Desulfurococcales,,,Desulfurococcaceae,,,,
106,Desulfurococcaceae,genus,Staphylothermus,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Desulfurococcales,,,Desulfurococcaceae,,Staphylothermus,,
115,Desulfurococcales,family,Desulfurococcaceae,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Desulfurococcales,,,Desulfurococcaceae,,,,
114,Desulfurococcales,family,Desulfurococcaceae,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Desulfurococcales,,,Desulfurococcaceae,,,,
113,Desulfurococcaceae,genus,Desulfurococcus,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Desulfurococcales,,,Desulfurococcaceae,,Desulfurococcus,,
111,Desulfurococcus,species,Desulfurococcus amylolyticus,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Desulfurococcales,,,Desulfurococcaceae,,Desulfurococcus,Desulfurococcus amylolyticus,
162,Crenarchaeota <phylum>,class,Thermoprotei,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,,,,,,,,
128,Crenarchaeota <phylum>,class,Thermoprotei,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,,,,,,,,
122,Desulfurococcales,family,Pyrodictiaceae,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Desulfurococcales,,,Pyrodictiaceae,,,,
120,Desulfurococcales,family,Pyrodictiaceae,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Desulfurococcales,,,Pyrodictiaceae,,,,
127,Thermoprotei,order,Acidilobales,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Acidilobales,,,,,,,
126,Acidilobaceae,genus,Acidilobus,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Acidilobales,,,Acidilobaceae,,Acidilobus,,
161,Sulfolobales,family,Sulfolobaceae,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Sulfolobales,,,Sulfolobaceae,,,,
159,Sulfolobales,family,Sulfolobaceae,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Sulfolobales,,,Sulfolobaceae,,,,
131,Sulfolobales,family,Sulfolobaceae,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Sulfolobales,,,Sulfolobaceae,,,,
158,Sulfolobales,family,Sulfolobaceae,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Sulfolobales,,,Sulfolobaceae,,,,
144,Sulfolobales,family,Sulfolobaceae,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Sulfolobales,,,Sulfolobaceae,,,,
143,Sulfolobales,family,Sulfolobaceae,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Sulfolobales,,,Sulfolobaceae,,,,
142,Sulfolobales,family,Sulfolobaceae,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Sulfolobales,,,Sulfolobaceae,,,,
140,Sulfolobales,family,Sulfolobaceae,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Sulfolobales,,,Sulfolobaceae,,,,
138,Sulfolobales,family,Sulfolobaceae,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Sulfolobales,,,Sulfolobaceae,,,,
137,Saccharolobus,species,Saccharolobus solfataricus,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Sulfolobales,,,Sulfolobaceae,,Saccharolobus,Saccharolobus solfataricus,
157,Sulfolobales,family,Sulfolobaceae,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Sulfolobales,,,Sulfolobaceae,,,,
153,Sulfolobales,family,Sulfolobaceae,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Sulfolobales,,,Sulfolobaceae,,,,
152,Sulfolobaceae,genus,Metallosphaera,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Sulfolobales,,,Sulfolobaceae,,Metallosphaera,,
148,Metallosphaera,species,Metallosphaera sedula,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Sulfolobales,,,Sulfolobaceae,,Metallosphaera,Metallosphaera sedula,
151,Sulfolobaceae,genus,Metallosphaera,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Sulfolobales,,,Sulfolobaceae,,Metallosphaera,,
156,Sulfolobaceae,genus,Acidianus,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Sulfolobales,,,Sulfolobaceae,,Acidianus,,
184,Thermoprotei,order,Thermoproteales,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Thermoproteales,,,,,,,
168,Thermofilaceae,genus,Thermofilum,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Thermoproteales,,,Thermofilaceae,,Thermofilum,,
166,Thermofilaceae,genus,Thermofilum,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Thermoproteales,,,Thermofilaceae,,Thermofilum,,
183,Thermoproteales,family,Thermoproteaceae,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Thermoproteales,,,Thermoproteaceae,,,,
182,Thermoproteales,family,Thermoproteaceae,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Thermoproteales,,,Thermoproteaceae,,,,
172,Thermoproteaceae,genus,Vulcanisaeta,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Thermoproteales,,,Thermoproteaceae,,Vulcanisaeta,,
181,Thermoproteales,family,Thermoproteaceae,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Thermoproteales,,,Thermoproteaceae,,,,
177,Thermoproteaceae,genus,Pyrobaculum,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Thermoproteales,,,Thermoproteaceae,,Pyrobaculum,,
176,Thermoproteaceae,genus,Pyrobaculum,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Thermoproteales,,,Thermoproteaceae,,Pyrobaculum,,
180,Thermoproteaceae,genus,Thermoproteus,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Thermoproteales,,,Thermoproteaceae,,Thermoproteus,,
440,cellular organisms,superkingdom,Archaea,root,cellular organisms,Archaea,,,,,,,,,,,,,,,
246,Archaea,phylum,Euryarchaeota,root,cellular organisms,Archaea,,,Euryarchaeota,,,,,,,,,,,,
220,Methanococci,order,Methanococcales,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanococci,,Methanococcales,,,,,,,
200,Methanocaldococcaceae,genus,Methanocaldococcus,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanococci,,Methanococcales,,,Methanocaldococcaceae,,Methanocaldococcus,,
199,Methanocaldococcaceae,genus,Methanocaldococcus,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanococci,,Methanococcales,,,Methanocaldococcaceae,,Methanocaldococcus,,
198,Methanocaldococcaceae,genus,Methanocaldococcus,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanococci,,Methanococcales,,,Methanocaldococcaceae,,Methanocaldococcus,,
197,Methanocaldococcaceae,genus,Methanocaldococcus,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanococci,,Methanococcales,,,Methanocaldococcaceae,,Methanocaldococcus,,
196,Methanocaldococcaceae,genus,Methanocaldococcus,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanococci,,Methanococcales,,,Methanocaldococcaceae,,Methanocaldococcus,,
219,Methanococci,order,Methanococcales,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanococci,,Methanococcales,,,,,,,
218,Methanococcales,family,Methanococcaceae,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanococci,,Methanococcales,,,Methanococcaceae,,,,
204,Methanococcales,family,Methanococcaceae,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanococci,,Methanococcales,,,Methanococcaceae,,,,
217,Methanococcaceae,genus,Methanococcus,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanococci,,Methanococcales,,,Methanococcaceae,,Methanococcus,,
216,Methanococcaceae,genus,Methanococcus,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanococci,,Methanococcales,,,Methanococcaceae,,Methanococcus,,
215,Methanococcus,species,Methanococcus maripaludis,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanococci,,Methanococcales,,,Methanococcaceae,,Methanococcus,Methanococcus maripaludis,
209,Methanococcus,species,Methanococcus maripaludis,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanococci,,Methanococcales,,,Methanococcaceae,,Methanococcus,Methanococcus maripaludis,
214,Methanococcus,species,Methanococcus maripaludis,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanococci,,Methanococcales,,,Methanococcaceae,,Methanococcus,Methanococcus maripaludis,
212,Methanococcus,species,Methanococcus maripaludis,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanococci,,Methanococcales,,,Methanococcaceae,,Methanococcus,Methanococcus maripaludis,
245,Euryarchaeota,phylum_,Diaforarchaea group,root,cellular organisms,Archaea,,,Euryarchaeota,Diaforarchaea group,,,,,,,,,,,
241,Diaforarchaea group,class,Thermoplasmata,root,cellular organisms,Archaea,,,Euryarchaeota,Diaforarchaea group,,Thermoplasmata,,,,,,,,,
229,Diaforarchaea group,class,Thermoplasmata,root,cellular organisms,Archaea,,,Euryarchaeota,Diaforarchaea group,,Thermoplasmata,,,,,,,,,
228,Diaforarchaea group,class,Thermoplasmata,root,cellular organisms,Archaea,,,Euryarchaeota,Diaforarchaea group,,Thermoplasmata,,,,,,,,,
227,Diaforarchaea group,class,Thermoplasmata,root,cellular organisms,Archaea,,,Euryarchaeota,Diaforarchaea group,,Thermoplasmata,,,,,,,,,
226,Diaforarchaea group,class,Thermoplasmata,root,cellular organisms,Archaea,,,Euryarchaeota,Diaforarchaea group,,Thermoplasmata,,,,,,,,,
240,Thermoplasmata,order,Thermoplasmatales,root,cellular organisms,Archaea,,,Euryarchaeota,Diaforarchaea group,,Thermoplasmata,,Thermoplasmatales,,,,,,,
232,Thermoplasmataceae,genus,Thermoplasma,root,cellular organisms,Archaea,,,Euryarchaeota,Diaforarchaea group,,Thermoplasmata,,Thermoplasmatales,,,Thermoplasmataceae,,Thermoplasma,,
239,Thermoplasmata,order,Thermoplasmatales,root,cellular organisms,Archaea,,,Euryarchaeota,Diaforarchaea group,,Thermoplasmata,,Thermoplasmatales,,,,,,,
238,Thermoplasmata,order,Thermoplasmatales,root,cellular organisms,Archaea,,,Euryarchaeota,Diaforarchaea group,,Thermoplasmata,,Thermoplasmatales,,,,,,,
237,Ferroplasmaceae,genus,Ferroplasma,root,cellular organisms,Archaea,,,Euryarchaeota,Diaforarchaea group,,Thermoplasmata,,Thermoplasmatales,,,Ferroplasmaceae,,Ferroplasma,,
244,DHVE2 group,genus,Aciduliprofundum,root,cellular organisms,Archaea,,,Euryarchaeota,Diaforarchaea group,DHVE2 group,,,,,,,,Aciduliprofundum,,
439,cellular organisms,superkingdom,Archaea,root,cellular organisms,Archaea,,,,,,,,,,,,,,,
261,Archaeoglobales,family,Archaeoglobaceae,root,cellular organisms,Archaea,,,Euryarchaeota,,,Archaeoglobi,,Archaeoglobales,,,Archaeoglobaceae,,,,
260,Archaeoglobales,family,Archaeoglobaceae,root,cellular organisms,Archaea,,,Euryarchaeota,,,Archaeoglobi,,Archaeoglobales,,,Archaeoglobaceae,,,,
258,Archaeoglobales,family,Archaeoglobaceae,root,cellular organisms,Archaea,,,Euryarchaeota,,,Archaeoglobi,,Archaeoglobales,,,Archaeoglobaceae,,,,
254,Archaeoglobales,family,Archaeoglobaceae,root,cellular organisms,Archaea,,,Euryarchaeota,,,Archaeoglobi,,Archaeoglobales,,,Archaeoglobaceae,,,,
253,Archaeoglobales,family,Archaeoglobaceae,root,cellular organisms,Archaea,,,Euryarchaeota,,,Archaeoglobi,,Archaeoglobales,,,Archaeoglobaceae,,,,
251,Archaeoglobales,family,Archaeoglobaceae,root,cellular organisms,Archaea,,,Euryarchaeota,,,Archaeoglobi,,Archaeoglobales,,,Archaeoglobaceae,,,,
257,Archaeoglobus,species,Archaeoglobus fulgidus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Archaeoglobi,,Archaeoglobales,,,Archaeoglobaceae,,Archaeoglobus,Archaeoglobus fulgidus,
438,cellular organisms,superkingdom,Archaea,root,cellular organisms,Archaea,,,,,,,,,,,,,,,
364,cellular organisms,superkingdom,Archaea,root,cellular organisms,Archaea,,,,,,,,,,,,,,,
324,Stenosarchaea group,class,Halobacteria,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,,,,,,,,
272,Halobacteriales,family,Halobacteriaceae,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Halobacteriales,,,Halobacteriaceae,,,,
266,Halobacteriales,family,Halobacteriaceae,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Halobacteriales,,,Halobacteriaceae,,,,
264,Halobacteriales,family,Halobacteriaceae,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Halobacteriales,,,Halobacteriaceae,,,,
271,Halobacteriaceae,genus,Halobacterium,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Halobacteriales,,,Halobacteriaceae,,Halobacterium,,
270,Halobacteriaceae,genus,Halobacterium,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Halobacteriales,,,Halobacteriaceae,,Halobacterium,,
323,Stenosarchaea group,class,Halobacteria,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,,,,,,,,
275,Haloarculaceae,genus,Natronomonas,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Halobacteriales,,,Haloarculaceae,,Natronomonas,,
322,Stenosarchaea group,class,Halobacteria,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,,,,,,,,
