,parent_id,rank,tax_name,root,root_,superkingdom,superkingdom_,superkingdom__,phylum,phylum_,phylum__,class,class_,order,order_,order__,family,family_,genus,species,species_
265,Halodesulfurarchaeum,species,Halodesulfurarchaeum formicicum,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Halobacteriales,,,Halobacteriaceae,,Halodesulfurarchaeum,Halodesulfurarchaeum formicicum,
267,Halobacterium,species,Halobacterium hubeiense,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Halobacteriales,,,Halobacteriaceae,,Halobacterium,Halobacterium hubeiense,
268,Halobacterium salinarum,species_,Halobacterium salinarum NRC-1,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Halobacteriales,,,Halobacteriaceae,,Halobacterium,Halobacterium salinarum,Halobacterium salinarum NRC-1
269,Halobacterium,species,Halobacterium sp. DL1,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Halobacteriales,,,Halobacteriaceae,,Halobacterium,Halobacterium sp. DL1,
273,Natronomonas pharaonis,species_,Natronomonas pharaonis DSM 2160,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Halobacteriales,,,Haloarculaceae,,Natronomonas,Natronomonas pharaonis,Natronomonas pharaonis DSM 2160
274,Natronomonas moolapensis,species_,Natronomonas moolapensis 8.8.11,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Halobacteriales,,,Haloarculaceae,,Natronomonas,Natronomonas moolapensis,Natronomonas moolapensis 8.8.11
276,Salinarchaeum,species,Salinarchaeum sp. Harcht-Bsk1,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Natrialbales,,,Natrialbaceae,,Salinarchaeum,Salinarchaeum sp. Harcht-Bsk1,
277,Halopiger xanaduensis,species_,Halopiger xanaduensis SH-6,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Natrialbales,,,Natrialbaceae,,Halopiger,Halopiger xanaduensis,Halopiger xanaduensis SH-6
278,Natronobacterium gregoryi,species_,Natronobacterium gregoryi SP2,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Natrialbales,,,Natrialbaceae,,Natronobacterium,Natronobacterium gregoryi,Natronobacterium gregoryi SP2
279,Natronococcus occultus,species_,Natronococcus occultus SP4,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Natrialbales,,,Natrialbaceae,,Natronococcus,Natronococcus occultus,Natronococcus occultus SP4
281,Halobiforma lacisalsi,species_,Halobiforma lacisalsi AJ5,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Natrialbales,,,Natrialbaceae,,Halobiforma,Halobiforma lacisalsi,Halobiforma lacisalsi AJ5
284,Natrialba magadii,species_,Natrialba magadii ATCC 43099,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Natrialbales,,,Natrialbaceae,,Natrialba,Natrialba magadii,Natrialba magadii ATCC 43099
285,Haloterrigena,species,Haloterrigena daqingensis,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Natrialbales,,,Natrialbaceae,,Haloterrigena,Haloterrigena daqingensis,
286,Haloterrigena turkmenica,species_,Haloterrigena turkmenica DSM 5511,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Natrialbales,,,Natrialbaceae,,Haloterrigena,Haloterrigena turkmenica,Haloterrigena turkmenica DSM 5511
288,Natrinema,species,Natrinema sp. J7-2,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Natrialbales,,,Natrialbaceae,,Natrinema,Natrinema sp. J7-2,
289,Natrinema pellirubrum,species_,Natrinema pellirubrum DSM 15624,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Natrialbales,,,Natrialbaceae,,Natrinema,Natrinema pellirubrum,Natrinema pellirubrum DSM 15624
293,Natronolimnobius,species,Natronolimnobius sp. AArc1,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Natrialbales,,,Natrialbaceae,,Natronolimnobius,Natronolimnobius sp. AArc1,
294,Natronolimnobius,species,Natronolimnobius sp. AArc-Mg,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Natrialbales,,,Natrialbaceae,,Natronolimnobius,Natronolimnobius sp. AArc-Mg,
296,Natronolimnobius,species,Natronolimnobius aegyptiacus,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Natrialbales,,,Natrialbaceae,,Natronolimnobius,Natronolimnobius aegyptiacus,
298,Halostagnicola larsenii,species_,Halostagnicola larsenii XH-48,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Natrialbales,,,Natrialbaceae,,Halostagnicola,Halostagnicola larsenii,Halostagnicola larsenii XH-48
302,Halalkalicoccus jeotgali,species_,Halalkalicoccus jeotgali B3,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Halobacteriales,,,Halobacteriaceae,,Halalkalicoccus,Halalkalicoccus jeotgali,Halalkalicoccus jeotgali B3
305,unclassified Haloarculaceae,species,Haloarculaceae archaeon HArcel1,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Halobacteriales,,,Haloarculaceae,unclassified Haloarculaceae,,Haloarculaceae archaeon HArcel1,
306,Halorhabdus tiamatea,species_,Halorhabdus tiamatea SARL4B,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Halobacteriales,,,Haloarculaceae,,Halorhabdus,Halorhabdus tiamatea,Halorhabdus tiamatea SARL4B
307,Halorhabdus utahensis,species_,Halorhabdus utahensis DSM 12940,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Halobacteriales,,,Haloarculaceae,,Halorhabdus,Halorhabdus utahensis,Halorhabdus utahensis DSM 12940
310,Halorientalis,species,Halorientalis sp. IM1011,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Halobacteriales,,,Haloarculaceae,,Halorientalis,Halorientalis sp. IM1011,
312,Haloarcula,species,Haloarcula taiwanensis,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Halobacteriales,,,Haloarculaceae,,Haloarcula,Haloarcula taiwanensis,
313,Haloarcula hispanica,species_,Haloarcula hispanica ATCC 33960,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Halobacteriales,,,Haloarculaceae,,Haloarcula,Haloarcula hispanica,Haloarcula hispanica ATCC 33960
314,Haloarcula,species,Haloarcula sp. CBA1115,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Halobacteriales,,,Haloarculaceae,,Haloarcula,Haloarcula sp. CBA1115,
316,Haloarcula marismortui,species_,Haloarcula marismortui ATCC 43049,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Halobacteriales,,,Haloarculaceae,,Haloarcula,Haloarcula marismortui,Haloarcula marismortui ATCC 43049
319,Halomicrobium mukohataei,species_,Halomicrobium mukohataei DSM 12286,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Halobacteriales,,,Haloarculaceae,,Halomicrobium,Halomicrobium mukohataei,Halomicrobium mukohataei DSM 12286
325,Halorussus,species,Halorussus sp. RC-68,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Halobacteriales,,,Halobacteriaceae,,Halorussus,Halorussus sp. RC-68,
326,Haloferax mediterranei,species_,Haloferax mediterranei ATCC 33500,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Haloferacales,,,Haloferacaceae,,Haloferax,Haloferax mediterranei,Haloferax mediterranei ATCC 33500
327,Haloferax,species,Haloferax gibbonsii,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Haloferacales,,,Haloferacaceae,,Haloferax,Haloferax gibbonsii,
328,Haloferax volcanii,species_,Haloferax volcanii DS2,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Haloferacales,,,Haloferacaceae,,Haloferax,Haloferax volcanii,Haloferax volcanii DS2
331,Haloquadratum walsbyi,species_,Haloquadratum walsbyi DSM 16790,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Haloferacales,,,Haloferacaceae,,Haloquadratum,Haloquadratum walsbyi,Haloquadratum walsbyi DSM 16790
332,Haloquadratum walsbyi,species_,Haloquadratum walsbyi C23,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Haloferacales,,,Haloferacaceae,,Haloquadratum,Haloquadratum walsbyi,Haloquadratum walsbyi C23
334,Halogeometricum borinquense,species_,Halogeometricum borinquense DSM 11551,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Haloferacales,,,Haloferacaceae,,Halogeometricum,Halogeometricum borinquense,Halogeometricum borinquense DSM 11551
337,Salinigranum,species,Salinigranum rubrum,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Haloferacales,,,Halorubraceae,,Salinigranum,Salinigranum rubrum,
338,Haloplanus,species,Haloplanus aerogenes,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Haloferacales,,,Haloferacaceae,,Haloplanus,Haloplanus aerogenes,
339,Haloplanus,species,Haloplanus sp. CBA1112,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Haloferacales,,,Haloferacaceae,,Haloplanus,Haloplanus sp. CBA1112,
340,Haloplanus,species,Haloplanus sp. CBA1113,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Haloferacales,,,Haloferacaceae,,Haloplanus,Haloplanus sp. CBA1113,
345,Halohasta,species,Halohasta litchfieldiae,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Haloferacales,,,Halorubraceae,,Halohasta,Halohasta litchfieldiae,
346,unclassified Haloferacales,species,halophilic archaeon DL31,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Haloferacales,unclassified Haloferacales,,,,,halophilic archaeon DL31,
347,unclassified Archaea (miscellaneous),species,archaeon AArc-Sl,root,cellular organisms,Archaea,unclassified Archaea,unclassified Archaea (miscellaneous),,,,,,,,,,,,archaeon AArc-Sl,
348,Halopenitus,species,Halopenitus persicus,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Haloferacales,,,Halorubraceae,,Halopenitus,Halopenitus persicus,
349,Halorubrum,species,Halorubrum ezzemoulense,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Haloferacales,,,Halorubraceae,,Halorubrum,Halorubrum ezzemoulense,
350,Halorubrum,species,Halorubrum sp. BOL3-1,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Haloferacales,,,Halorubraceae,,Halorubrum,Halorubrum sp. BOL3-1,
352,Halorubrum,species,Halorubrum trapanicum,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Haloferacales,,,Halorubraceae,,Halorubrum,Halorubrum trapanicum,
354,Halorubrum,species,Halorubrum sp. PV6,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Haloferacales,,,Halorubraceae,,Halorubrum,Halorubrum sp. PV6,
355,Halorubrum lacusprofundi,species_,Halorubrum lacusprofundi ATCC 49239,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Haloferacales,,,Halorubraceae,,Halorubrum,Halorubrum lacusprofundi,Halorubrum lacusprofundi ATCC 49239
365,Methanolacinia petrolearia,species_,Methanolacinia petrolearia DSM 11571,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Methanomicrobia,,Methanomicrobiales,,,Methanomicrobiaceae,,Methanolacinia,Methanolacinia petrolearia,Methanolacinia petrolearia DSM 11571
366,Methanoculleus marisnigri,species_,Methanoculleus marisnigri JR1,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Methanomicrobia,,Methanomicrobiales,,,Methanomicrobiaceae,,Methanoculleus,Methanoculleus marisnigri,Methanoculleus marisnigri JR1
367,Methanoculleus,species,Methanoculleus bourgensis,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Methanomicrobia,,Methanomicrobiales,,,Methanomicrobiaceae,,Methanoculleus,Methanoculleus bourgensis,
368,Methanoculleus bourgensis,species_,Methanoculleus bourgensis MS2,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Methanomicrobia,,Methanomicrobiales,,,Methanomicrobiaceae,,Methanoculleus,Methanoculleus bourgensis,Methanoculleus bourgensis MS2
372,Methanospirillum hungatei,species_,Methanospirillum hungatei JF-1,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Methanomicrobia,,Methanomicrobiales,,,Methanospirillaceae,,Methanospirillum,Methanospirillum hungatei,Methanospirillum hungatei JF-1
373,Methanoregula boonei,species_,Methanoregula boonei 6A8,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Methanomicrobia,,Methanomicrobiales,,,Methanoregulaceae,,Methanoregula,Methanoregula boonei,Methanoregula boonei 6A8
374,Methanoregula formicica,species_,Methanoregula formicica SMSP,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Methanomicrobia,,Methanomicrobiales,,,Methanoregulaceae,,Methanoregula,Methanoregula formicica,Methanoregula formicica SMSP
377,Methanosphaerula palustris,species_,Methanosphaerula palustris E1-9c,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Methanomicrobia,,Methanomicrobiales,,,Methanoregulaceae,,Methanosphaerula,Methanosphaerula palustris,Methanosphaerula palustris E1-9c
379,Methanocorpusculum labreanum,species_,Methanocorpusculum labreanum Z,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Methanomicrobia,,Methanomicrobiales,,,Methanocorpusculaceae,,Methanocorpusculum,Methanocorpusculum labreanum,Methanocorpusculum labreanum Z
382,Methanothrix soehngenii,species_,Methanothrix soehngenii GP6,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Methanomicrobia,,Methanosarcinales,,,Methanosaetaceae,,Methanothrix,Methanothrix soehngenii,Methanothrix soehngenii GP6
383,Methanosaeta harundinacea,species_,Methanosaeta harundinacea 6Ac,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Methanomicrobia,,Methanosarcinales,,,Methanosaetaceae,,Methanothrix,Methanosaeta harundinacea,Methanosaeta harundinacea 6Ac
385,Methanosalsum zhilinae,species_,Methanosalsum zhilinae DSM 4017,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Methanomicrobia,,Methanosarcinales,,,Methanosarcinaceae,,Methanosalsum,Methanosalsum zhilinae,Methanosalsum zhilinae DSM 4017
386,Methanohalobium evestigatum,species_,Methanohalobium evestigatum Z-7303,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Methanomicrobia,,Methanosarcinales,,,Methanosarcinaceae,,Methanohalobium,Methanohalobium evestigatum,Methanohalobium evestigatum Z-7303
388,Methanohalophilus,species,Methanohalophilus halophilus,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Methanomicrobia,,Methanosarcinales,,,Methanosarcinaceae,,Methanohalophilus,Methanohalophilus halophilus,
389,Methanohalophilus mahii,species_,Methanohalophilus mahii DSM 5219,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Methanomicrobia,,Methanosarcinales,,,Methanosarcinaceae,,Methanohalophilus,Methanohalophilus mahii,Methanohalophilus mahii DSM 5219
391,Methanococcoides methylutens,species_,Methanococcoides methylutens MM1,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Methanomicrobia,,Methanosarcinales,,,Methanosarcinaceae,,Methanococcoides,Methanococcoides methylutens,Methanococcoides methylutens MM1
392,Methanococcoides burtonii,species_,Methanococcoides burtonii DSM 6242,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Methanomicrobia,,Methanosarcinales,,,Methanosarcinaceae,,Methanococcoides,Methanococcoides burtonii,Methanococcoides burtonii DSM 6242
395,Methanomethylovorans hollandica,species_,Methanomethylovorans hollandica DSM 15978,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Methanomicrobia,,Methanosarcinales,,,Methanosarcinaceae,,Methanomethylovorans,Methanomethylovorans hollandica,Methanomethylovorans hollandica DSM 15978
396,Methanolobus psychrophilus,species_,Methanolobus psychrophilus R15,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Methanomicrobia,,Methanosarcinales,,,Methanosarcinaceae,,Methanolobus,Methanolobus psychrophilus,Methanolobus psychrophilus R15
397,Methanosarcina,species,Methanosarcina sp. MTP4,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Methanomicrobia,,Methanosarcinales,,,Methanosarcinaceae,,Methanosarcina,Methanosarcina sp. MTP4,
398,Methanosarcina lacustris,species_,Methanosarcina lacustris Z-7289,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Methanomicrobia,,Methanosarcinales,,,Methanosarcinaceae,,Methanosarcina,Methanosarcina lacustris,Methanosarcina lacustris Z-7289
399,Methanosarcina,species,Methanosarcina sp. WH1,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Methanomicrobia,,Methanosarcinales,,,Methanosarcinaceae,,Methanosarcina,Methanosarcina sp. WH1,
401,Methanosarcina siciliae,species_,Methanosarcina siciliae C2J,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Methanomicrobia,,Methanosarcinales,,,Methanosarcinaceae,,Methanosarcina,Methanosarcina siciliae,Methanosarcina siciliae C2J
402,Methanosarcina siciliae,species_,Methanosarcina siciliae T4/M,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Methanomicrobia,,Methanosarcinales,,,Methanosarcinaceae,,Methanosarcina,Methanosarcina siciliae,Methanosarcina siciliae T4/M
404,Methanosarcina thermophila,species_,Methanosarcina thermophila TM-1,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Methanomicrobia,,Methanosarcinales,,,Methanosarcinaceae,,Methanosarcina,Methanosarcina thermophila,Methanosarcina thermophila TM-1
405,Methanosarcina mazei,species_,Methanosarcina mazei WWM610,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Methanomicrobia,,Methanosarcinales,,,Methanosarcinaceae,,Methanosarcina,Methanosarcina mazei,Methanosarcina mazei WWM610
406,Methanosarcina mazei,species_,Methanosarcina mazei Go1,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Methanomicrobia,,Methanosarcinales,,,Methanosarcinaceae,,Methanosarcina,Methanosarcina mazei,Methanosarcina mazei Go1
408,Methanosarcina horonobensis,species_,Methanosarcina horonobensis HB-1 = JCM 15518,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Methanomicrobia,,Methanosarcinales,,,Methanosarcinaceae,,Methanosarcina,Methanosarcina horonobensis,Methanosarcina horonobensis HB-1 = JCM 15518
410,Methanosarcina,species,Methanosarcina sp. Kolksee,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Methanomicrobia,,Methanosarcinales,,,Methanosarcinaceae,,Methanosarcina,Methanosarcina sp. Kolksee,
411,Methanosarcina vacuolata,species_,Methanosarcina vacuolata Z-761,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Methanomicrobia,,Methanosarcinales,,,Methanosarcinaceae,,Methanosarcina,Methanosarcina vacuolata,Methanosarcina vacuolata Z-761
413,Methanosarcina barkeri,species_,Methanosarcina barkeri 3,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Methanomicrobia,,Methanosarcinales,,,Methanosarcinaceae,,Methanosarcina,Methanosarcina barkeri,Methanosarcina barkeri 3
414,Methanosarcina barkeri,species_,Methanosarcina barkeri 227,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Methanomicrobia,,Methanosarcinales,,,Methanosarcinaceae,,Methanosarcina,Methanosarcina barkeri,Methanosarcina barkeri 227
415,Methanosarcina barkeri,species_,Methanosarcina barkeri MS,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Methanomicrobia,,Methanosarcinales,,,Methanosarcinaceae,,Methanosarcina,Methanosarcina barkeri,Methanosarcina barkeri MS
417,Methanosarcina barkeri,species_,Methanosarcina barkeri str. Fusaro,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Methanomicrobia,,Methanosarcinales,,,Methanosarcinaceae,,Methanosarcina,Methanosarcina barkeri,Methanosarcina barkeri str. Fusaro
431,Methanocella conradii,species_,Methanocella conradii HZ254,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Methanomicrobia,,Methanocellales,,,Methanocellaceae,,Methanocella,Methanocella conradii,Methanocella conradii HZ254
432,Methanocella paludicola,species_,Methanocella paludicola SANAE,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Methanomicrobia,,Methanocellales,,,Methanocellaceae,,Methanocella,Methanocella paludicola,Methanocella paludicola SANAE
434,Methanocella arvoryzae,species_,Methanocella arvoryzae MRE50,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Methanomicrobia,,Methanocellales,,,Methanocellaceae,,Methanocella,Methanocella arvoryzae,Methanocella arvoryzae MRE50
443,Methanothermobacter,species,Methanothermobacter wolfeii,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanobacteria,,Methanobacteriales,,,Methanobacteriaceae,,Methanothermobacter,Methanothermobacter wolfeii,
444,Methanothermobacter marburgensis,species_,Methanothermobacter marburgensis str. Marburg,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanobacteria,,Methanobacteriales,,,Methanobacteriaceae,,Methanothermobacter,Methanothermobacter marburgensis,Methanothermobacter marburgensis str. Marburg
445,Methanothermobacter thermautotrophicus,species_,Methanothermobacter thermautotrophicus str. Delta H,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanobacteria,,Methanobacteriales,,,Methanobacteriaceae,,Methanothermobacter,Methanothermobacter thermautotrophicus,Methanothermobacter thermautotrophicus str. Delta H
446,Methanothermobacter,species,Methanothermobacter sp. CaT2,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanobacteria,,Methanobacteriales,,,Methanobacteriaceae,,Methanothermobacter,Methanothermobacter sp. CaT2,
452,Methanobacterium,species,Methanobacterium paludis,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanobacteria,,Methanobacteriales,,,Methanobacteriaceae,,Methanobacterium,Methanobacterium paludis,
453,Methanobacterium,species,Methanobacterium lacus,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanobacteria,,Methanobacteriales,,,Methanobacteriaceae,,Methanobacterium,Methanobacterium lacus,
455,Methanobacterium,species,Methanobacterium congolense,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanobacteria,,Methanobacteriales,,,Methanobacteriaceae,,Methanobacterium,Methanobacterium congolense,
458,Methanobacterium,species,Methanobacterium subterraneum,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanobacteria,,Methanobacteriales,,,Methanobacteriaceae,,Methanobacterium,Methanobacterium subterraneum,
460,Methanobacterium,species,Methanobacterium formicicum,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanobacteria,,Methanobacteriales,,,Methanobacteriaceae,,Methanobacterium,Methanobacterium formicicum,
